,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
11,601398.XSHG,601398,工商银行,XSHG,2007/6/18,5.15,5.15,5.2,5.3,5.18,5.24,337063104,1765904510,,0.0367,0.587716162,48107287200,1.75E+12,0.0175,,23.3917,3.6062,1,
12,601398.XSHG,601398,工商银行,XSHG,2007/6/19,5.24,5.24,5.2,5.38,5.17,5.24,269834912,1424322820,,0.0294,0.587716162,48107287200,1.75E+12,0,,23.3917,3.6062,1,
13,601398.XSHG,601398,工商银行,XSHG,2007/6/20,5.24,5.24,5.22,5.26,5.1,5.11,239209968,1240195200,,0.0261,0.587716162,46913785800,1.71E+12,-0.0248,,22.8113,3.5167,1,
14,601398.XSHG,601398,工商银行,XSHG,2007/6/21,5.09,5.11,5.1,5.19,5,5.15,196501600,1003338240,,0.0214,0.590025425,47281017000,1.72E+12,0.0118,,22.9899,3.5442,1,
15,601398.XSHG,601398,工商银行,XSHG,2007/6/22,5.15,5.15,5.14,5.2,5,5.04,235773376,1195765380,,0.0257,0.590025425,46271131200,1.68E+12,-0.0214,,22.4989,3.4685,1,
16,601398.XSHG,601398,工商银行,XSHG,2007/6/25,5.04,5.04,5.06,5.14,4.94,4.96,209230544,1050922180,,0.0228,0.590025425,45536668800,1.66E+12,-0.0159,,22.1417,3.4135,1,
17,601398.XSHG,601398,工商银行,XSHG,2007/6/26,4.96,4.96,4.9,5.02,4.88,4.99,163163472,806172670,,0.0178,0.590025425,45812092200,1.67E+12,0.006,,22.2757,3.4341,1,
18,601398.XSHG,601398,工商银行,XSHG,2007/6/27,4.99,4.99,5,5.13,4.94,5.1,251313056,1268700670,,0.0274,0.590025425,46821978000,1.70E+12,0.022,,22.7667,3.5098,1,
19,601398.XSHG,601398,工商银行,XSHG,2007/6/28,5.1,5.1,5.12,5.26,5.01,5.03,301673344,1558042750,,0.0329,0.590025425,46179323400,1.68E+12,-0.0137,,22.4542,3.4616,1,
20,601398.XSHG,601398,工商银行,XSHG,2007/6/29,5.03,5.03,4.95,5.12,4.91,5.01,225323168,1130892290,,0.0245,0.590025425,45995707800,1.67E+12,-0.004,,22.3649,3.4479,1,
21,601398.XSHG,601398,工商银行,XSHG,2007/7/2,5.01,5.01,5.02,5.08,4.95,5.06,141741456,710747650,,0.0154,0.590025425,46454746800,1.69E+12,0.01,,20.6901,3.3896,1,
22,601398.XSHG,601398,工商银行,XSHG,2007/7/3,5.06,5.06,5.08,5.22,5.08,5.2,359928320,1866678780,,0.0392,0.590025425,47740056000,1.74E+12,0.0277,,21.2626,3.4834,1,
23,601398.XSHG,601398,工商银行,XSHG,2007/7/4,5.2,5.2,5.21,5.3,5.12,5.14,222879248,1164644220,,0.0243,0.590025425,47189209200,1.72E+12,-0.0115,,21.0172,3.4432,1,
24,601398.XSHG,601398,工商银行,XSHG,2007/7/5,5.14,5.14,5.11,5.16,4.97,4.98,156626256,792449090,,0.0171,0.590025425,45720284400,1.66E+12,-0.0311,,20.363,3.336,1,
25,601398.XSHG,601398,工商银行,XSHG,2007/7/6,4.98,4.98,4.98,5.17,4.97,5.16,174773824,888243200,,0.019,0.590025425,47372824800,1.72E+12,0.0361,,21.099,3.4566,1,
26,601398.XSHG,601398,工商银行,XSHG,2007/7/9,5.16,5.16,5.18,5.32,5.14,5.27,401041088,2116363900,,0.0437,0.590025425,48382710600,1.76E+12,0.0213,,21.5488,3.5303,1,
27,601398.XSHG,601398,工商银行,XSHG,2007/7/10,5.27,5.27,5.33,5.49,5.33,5.36,451588128,2445634050,,0.0492,0.590025425,49208980800,1.79E+12,0.0171,,21.9168,3.5906,1,
28,601398.XSHG,601398,工商银行,XSHG,2007/7/11,5.36,5.36,5.41,5.49,5.35,5.4,176689152,960542140,,0.0192,0.590025425,49576212000,1.80E+12,0.0075,,22.0804,3.6174,1,
29,601398.XSHG,601398,工商银行,XSHG,2007/7/12,5.4,5.4,5.41,5.45,5.33,5.39,120832432,651493630,,0.0132,0.590025425,49484404200,1.80E+12,-0.0019,,22.0395,3.6107,1,
30,601398.XSHG,601398,工商银行,XSHG,2007/7/13,5.39,5.39,5.39,5.43,5.33,5.37,84888192,456441184,,0.0092,0.590025425,49300788600,1.79E+12,-0.0037,,21.9577,3.5973,1,
31,601398.XSHG,601398,工商银行,XSHG,2007/7/16,5.37,5.37,5.41,5.44,5.26,5.27,98489376,527516928,,0.0107,0.590025425,48382710600,1.76E+12,-0.0186,,21.5488,3.5303,1,
32,601398.XSHG,601398,工商银行,XSHG,2007/7/17,5.27,5.27,5.27,5.42,5.18,5.4,159931584,849207230,,0.0174,0.590025425,49576212000,1.80E+12,0.0247,,22.0804,3.6174,1,
33,601398.XSHG,601398,工商银行,XSHG,2007/7/18,5.4,5.4,5.35,5.49,5.31,5.41,263883360,1434725380,,0.0287,0.590025425,49668019800,1.81E+12,0.0019,,22.1213,3.6241,1,
34,601398.XSHG,601398,工商银行,XSHG,2007/7/19,5.41,5.41,5.41,5.53,5.4,5.43,174995632,958857470,,0.0191,0.590025425,49851635400,1.81E+12,0.0037,,22.203,3.6375,1,
