,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
34,600036.XSHG,600036,招商银行,XSHG,2008-11-03,11.69,11.69,11.42,12.07,11.29,11.75,31526642,373995776,,0.0044,0.5127699971,85139865770.2,1.72809356505e+11,0.0051,7.1197,6.8218,2.0676,1,
35,600036.XSHG,600036,招商银行,XSHG,2008-11-04,11.75,11.75,11.75,11.81,11.11,11.6,41048236,472870752,,0.0057,0.5127699971,84052973866.8,1.70603279613e+11,-0.0128,7.0288,6.7347,2.0412,1,
36,600036.XSHG,600036,招商银行,XSHG,2008-11-05,11.6,11.6,11.76,12.76,11.76,12.71,126190032,1586328060,,0.0174,0.5127699971,92095973952.3,1.86928248611e+11,0.0957,7.7014,7.3791,2.2365,1,
37,600036.XSHG,600036,招商银行,XSHG,2008-11-06,12.71,12.71,12.18,12.36,11.98,12.07,92118776,1118742020,,0.0127,0.5127699971,87458568497.6,1.77515653873e+11,-0.0504,7.3136,7.0076,2.1239,1,
38,600036.XSHG,600036,招商银行,XSHG,2008-11-07,12.07,12.07,11.69,12.9,11.6,12.52,96217016,1192467840,,0.0133,0.5127699971,90719244208.0,1.84133884548e+11,0.0373,7.5863,7.2688,2.2031,1,
39,600036.XSHG,600036,招商银行,XSHG,2008-11-10,12.52,12.52,12.85,13.77,12.77,13.71,144773872,1943127040,,0.02,0.5127699971,99341919975.3,2.01635427888e+11,0.095,8.3073,7.9597,2.4125,1,
40,600036.XSHG,600036,招商银行,XSHG,2008-11-11,13.71,13.71,13.49,13.77,13.28,13.42,90262232,1220376700,,0.0125,0.5127699971,97240595628.7,1.97370345897e+11,-0.0212,8.1316,7.7913,2.3615,1,
41,600036.XSHG,600036,招商银行,XSHG,2008-11-12,13.42,13.42,13.22,13.98,13.16,13.58,71483376,970208700,,0.0099,0.5127699971,98399946992.3,1.99723494582e+11,0.0119,8.2286,7.8842,2.3896,1,
42,600036.XSHG,600036,招商银行,XSHG,2008-11-13,13.58,13.58,13.26,14.37,13.02,14.02,125604304,1719379580,,0.0173,0.5127699971,1.01588163242e+11,2.06194653464e+11,0.0324,8.4952,8.1397,2.467,1,
43,600036.XSHG,600036,招商银行,XSHG,2008-11-14,14.02,14.02,14.11,14.48,13.86,14.25,106021224,1503303550,,0.0146,0.5127699971,1.03254730828e+11,2.09577304697e+11,0.0164,8.6345,8.2732,2.5075,1,
44,600036.XSHG,600036,招商银行,XSHG,2008-11-17,14.25,14.25,14.2,14.59,14.0,14.45,101718544,1450716800,,0.014,0.5127699971,1.04703920032e+11,2.12518740553e+11,0.014,8.7557,8.3893,2.5427,1,
45,600036.XSHG,600036,招商银行,XSHG,2008-11-18,14.45,14.45,14.33,14.47,13.01,13.01,128372528,1749239300,,0.0177,0.5127699971,94269757759.2,1.91340402394e+11,-0.0997,7.8832,7.5533,2.2893,1,
46,600036.XSHG,600036,招商银行,XSHG,2008-11-19,13.01,13.01,12.98,13.97,12.87,13.84,97462016,1309192320,,0.0135,0.5127699971,1.00283892958e+11,2.03547361194e+11,0.0638,8.3861,8.0352,2.4354,1,
47,600036.XSHG,600036,招商银行,XSHG,2008-11-20,13.84,13.84,13.4,13.75,13.08,13.34,84011312,1124241540,,0.0116,0.5127699971,96660919946.8,1.96193771555e+11,-0.0361,8.0831,7.7449,2.3474,1,
48,600036.XSHG,600036,招商银行,XSHG,2008-11-21,13.34,13.34,12.78,13.8,12.44,13.21,97761872,1279175940,,0.0135,0.5127699971,95718946963.8,1.94281838249e+11,-0.0097,8.0044,7.6694,2.3245,1,
49,600036.XSHG,600036,招商银行,XSHG,2008-11-24,13.21,13.21,13.2,13.2,12.48,12.54,65209960,827844290,,0.009,0.5127699971,90864163128.4,1.84428028134e+11,-0.0507,7.5984,7.2804,2.2066,1,
50,600036.XSHG,600036,招商银行,XSHG,2008-11-25,12.54,12.54,12.9,13.0,12.12,12.35,60544760,757961410,,0.0084,0.5127699971,89487433384.1,1.81633664071e+11,-0.0152,7.4833,7.1701,2.1732,1,
51,600036.XSHG,600036,招商银行,XSHG,2008-11-26,12.35,12.35,12.38,12.45,12.07,12.26,50918264,623838020,,0.007,0.5127699971,88835298242.0,1.80310017936e+11,-0.0073,7.4287,7.1179,2.1573,1,
52,600036.XSHG,600036,招商银行,XSHG,2008-11-27,12.26,12.26,13.01,13.27,12.28,12.33,131266984,1679336450,,0.0181,0.5127699971,89342514463.6,1.81339520485e+11,0.0057,7.4711,7.1585,2.1697,1,
53,600036.XSHG,600036,招商银行,XSHG,2008-11-28,12.33,12.33,12.15,12.25,11.5,11.68,84330432,996000380,,0.0116,0.5127699971,84632649548.6,1.71779853955e+11,-0.0527,7.0773,6.7811,2.0553,1,
54,600036.XSHG,600036,招商银行,XSHG,2008-12-01,11.68,11.68,11.68,11.96,11.39,11.88,54648500,642206210,,0.0075,0.5127699971,86081838753.2,1.74721289811e+11,0.0171,7.1985,6.8973,2.0905,1,
